hostname,n_planets,avg_radius_earth,avg_mass_earth,sy_dist,ra,dec
Kepler-288,3,2.3966666666666665,6.513333333333333,1194.15,288.9163997,39.5947523
HD 136352,3,2.3806666666666665,8.26,14.682,230.4401147,-48.3188174
Kepler-83,3,2.3766666666666665,3.0233333333333334,400.409,282.2325197,43.6655662
Kepler-244,3,2.373333333333333,9.37,1036.49,287.242641,42.3014185
Kepler-310,3,2.346666666666667,6.736666666666667,602.268,288.839278,46.9867472
Kepler-142,3,2.3366666666666664,6.16,548.686,295.1190067,48.4813635
Kepler-23,3,2.283,4.9366666666666665,835.756,294.2189131,49.4792536
Kepler-184,3,2.2733333333333334,7.243333333333333,610.326,291.9518784,43.0746172
Kepler-198,3,2.2733333333333334,5.989999999999999,495.358,290.6731326,38.6910045
Kepler-196,3,2.2668855766666667,5.826666666666667,451.312,284.9685077,42.0791214
Kepler-171,3,2.263333333333333,5.796666666666667,863.855,296.7719082,41.7555958
Kepler-347,3,2.2533333333333334,5.91,1298.88,289.1995995,49.3056404
Kepler-127,3,2.233333333333334,5.853333333333333,352.794,285.1899439,46.0280596
Kepler-529,3,2.21834201,5.666666666666667,799.008,285.8884067,47.880364
Kepler-1530,3,2.18956705,5.830000000000001,489.876,288.1624396,48.165153
Kepler-192,3,2.1833333333333336,5.7299999999999995,651.674,287.9179379,45.5928829
Kepler-319,3,2.183333333333333,5.5200000000000005,503.436,288.8119782,39.7706431
Kepler-194,3,2.1666666666666665,5.486666666666667,1097.97,291.971429,47.8640498
HD 42813,3,2.1663333333333337,6.246666666666666,68.192,93.0578446,-14.6493167
Kepler-203,3,2.16,263.6433333333333,703.302,297.089959,41.3880686
TOI-663,3,2.15,4.433333333333334,64.2308,160.0658525,-8.5110827
Kepler-416,3,2.1473333333333335,22.516666666666666,690.819,291.5569554,39.2272923
Kepler-298,3,2.13,5.226666666666667,518.204,283.0398448,48.8253303
Kepler-207,3,2.126666666666667,5.6499999999999995,875.519,290.0305195,42.1660555
Kepler-267,3,2.1266666666666665,16.28333333333333,264.993,299.8305655,47.1575741
Kepler-166,3,2.1266666666666665,5.223333333333334,603.53,293.1600977,48.8812074
K2-155,3,2.1,5.1433333333333335,72.7998,65.469614,21.3532633
HD 22946,3,2.099,16.666666666666668,62.7792,54.819538,-42.7630276
GJ 3138,3,2.0966666666666667,5.486666666666667,28.4712,32.2977385,-16.3392495
Kepler-968,3,2.09,6.3933333333333335,290.324,285.6025889,50.1120401
TOI-1266,3,2.08,3.7699999999999996,36.0118,197.9965833,65.8336973
GJ 3998,3,2.0766666666666667,5.13,18.1459,259.0020507,11.0561751
Kepler-1468,3,2.07062382,5.446666666666666,1899.24,293.5198289,41.2773671
Kepler-401,3,2.0433333333333334,4.87,965.56,290.0827494,50.8634361
K2-37,3,2.0366666666666666,7.133333333333333,179.943,243.4509662,-24.7870527
HD 28471,3,2.0233333333333334,4.783333333333334,43.6455,66.2875166,-64.0786861
TOI-431,3,2.02,5.266666666666667,32.5686,83.2692502,-26.7238698
HD 39194,3,2.016666666666667,4.766666666666667,26.4131,86.129071,-70.1382377
K2-80,3,2.01070502,4.833333333333333,200.802,59.037486,13.5590288
